0; Zero
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_1; Punto 1 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_10; Punto 10 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_11; Punto 11 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_12; Punto 12 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_13; Punto 13 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_14; Punto 14 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_15; Punto 15 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_16; Punto 16 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_17; Punto 17 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_18; Punto 18 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_19; Punto 19 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_2; Punto 2 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_20; Punto 20 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_21; Punto 21 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_3; Punto 3 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_4; Punto 4 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_5; Punto 5 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_6; Punto 6 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_7; Punto 7 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_8; Punto 8 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.FLOWRATE_9; Punto 9 portata curva caratteristica combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.NUMBER; Numero punti curva combustibile
AMARC.FORNO.RATIO_CURVE.FUEL.SIGNAL_1; Punto 1 segnale curva caratteristica combustibile
